city,state_admin1,population,latitude,longitude,geonameid
Huntsville,AL,215006,34.7304,-86.58594,4068590
Des Moines,IA,214133,41.60054,-93.60911,4853828
Fontana,CA,212704,34.09223,-117.43505,5349755
Modesto,CA,211266,37.6391,-120.99688,5373900
Rochester,NY,209802,43.15478,-77.61556,5134086
Maryvale,AZ,208189,33.50199,-112.17765,5303929
Arlington,VA,207627,38.88101,-77.10428,4744709
Oxnard,CA,207254,34.1975,-119.17705,5380184
Columbus,GA,206922,32.46098,-84.98771,4188985
Worcester,MA,206518,42.26259,-71.80229,4956184
Moreno Valley,CA,204198,33.93752,-117.23059,5374732
Little Rock,AR,202591,34.74648,-92.28959,4119403
Fayetteville,NC,201963,35.05266,-78.87836,4466033
Huntington Beach,CA,201899,33.6603,-117.99923,5358705
Tallahassee,FL,201731,30.43826,-84.28073,4174715
Yonkers,NY,201116,40.9304,-73.89789,5145215
Glendale,CA,201020,34.14251,-118.25508,5352423
Cypress,TX,200839,29.96911,-95.69717,4684724
Aurora,IL,200661,41.76058,-88.32007,4883817
Amarillo,TX,198645,35.222,-101.8313,5516233
Akron,OH,197542,41.08144,-81.51901,5145476
Vancouver,WA,196442,45.63873,-122.66149,5814616
Birmingham,AL,196357,33.52066,-86.80249,4049979
Montgomery,AL,195287,32.36681,-86.29997,4076784
Grand Rapids,MI,195097,42.96336,-85.66809,4994358
Peoria,AZ,190985,33.5806,-112.23738,5308480
Providence,RI,190934,41.82399,-71.41283,5224151
Knoxville,TN,190740,35.96064,-83.92074,4634946
Sunrise Manor,NV,189372,36.21108,-115.07306,5513343
Grand Prairie,TX,187809,32.74596,-96.99778,4694482
Shreveport,LA,187593,32.52515,-93.75018,4341513
Brownsville,TX,186738,25.90175,-97.49748,4676740
Overland Park,KS,186515,38.98223,-94.67079,4276873
Newport News,VA,186247,36.98038,-76.42975,4776024
Mobile,AL,183289,30.69436,-88.04305,4076598
Fort Lauderdale,FL,183146,26.12231,-80.14338,4155966
Santa Clarita,CA,182371,34.39166,-118.54259,5393049
Chattanooga,TN,181099,35.04563,-85.30968,4612862
East Flatbush,NY,178464,40.65371,-73.93042,5115843
Spring Valley,NV,178395,36.10803,-115.245,5512909
Santa Rosa,CA,178127,38.44047,-122.71443,5393287
Eugene,OR,176654,44.05207,-123.08675,5725846
Tempe,AZ,175826,33.41477,-111.90931,5317058
Oceanside,CA,175691,33.19587,-117.37948,5378771
Salem,OR,175535,44.9429,-123.0351,5750162
Garden Grove,CA,175393,33.77391,-117.94145,5351515
Rancho Cucamonga,CA,175236,34.1064,-117.59311,5385955
Cape Coral,FL,175229,26.56285,-81.94953,4149962
East New York,NY,173198,40.66677,-73.88236,5115985
Sioux Falls,SD,171544,43.54369,-96.72796,5231851
Ontario,CA,171214,34.06334,-117.65089,5379439
Fort Collins,CO,170924,40.58526,-105.08442,5577147
Springfield,MO,170188,37.21533,-93.29824,4409896
Hollywood,CA,167664,34.09834,-118.32674,5357527
Elk Grove,CA,166913,38.4088,-121.37162,5346111
Clarksville,TN,166722,36.52977,-87.35945,4613868
Pembroke Pines,FL,166611,26.00315,-80.22394,4168139
Deer Valley,AZ,165656,33.68393,-112.13488,5292387
Murfreesboro,TN,165430,35.84562,-86.39027,4644312
