city,state_admin1,population,latitude,longitude,geonameid
Bellflower,CA,78441,33.88168,-118.11701,5327422
Chino Hills,CA,78309,33.9938,-117.75888,5336545
Bloomington,IL,78292,40.4842,-88.99369,4885164
Alafaya,FL,78113,28.5641,-81.2114,6332439
Springdale,AR,77859,36.18674,-94.12881,4132093
Racine,WI,77742,42.72613,-87.78285,5268249
Hammond,IN,77614,41.58337,-87.50004,4921100
Milpitas,CA,77604,37.42827,-121.90662,5373327
Gary,IN,77156,41.59337,-87.34643,4920607
Scranton,PA,77118,41.40916,-75.6649,5211303
Baldwin Park,CA,77071,34.08529,-117.9609,5325866
Auburn,WA,77006,47.30732,-122.22845,5785965
Fishers,IN,76794,39.95559,-86.01387,4257494
Saint Joseph,MO,76780,39.76861,-94.84663,4407010
Pharr,TX,76538,26.1948,-98.18362,4718721
Upland,CA,76443,34.09751,-117.64839,5404915
Folsom,CA,76375,38.67796,-121.17606,5349705
Baytown,TX,76335,29.7355,-94.97743,4672731
San Ramon,CA,76134,37.77993,-121.97802,5392593
Camden,NJ,76119,39.92595,-75.11962,4501018
Lake Charles,LA,76070,30.21309,-93.2044,4330236
Kalamazoo,MI,76041,42.29171,-85.58723,4997787
Brick,NJ,76021,40.05928,-74.13708,5095947
Arlington Heights,IL,75926,42.08836,-87.98063,4883555
Plymouth,MN,75907,45.01052,-93.45551,5041926
South Ozone Park,NY,75878,40.6701,-73.81902,5138950
Doral,FL,75874,25.81954,-80.35533,4153471
Waterford,MI,75737,42.69303,-83.41181,5014130
Evanston,IL,75527,42.04114,-87.69006,4891382
Manteca,CA,75448,37.79743,-121.21605,5370164
Wyoming,MI,75275,42.91336,-85.70531,5015618
Loveland,CO,75182,40.39776,-105.07498,5579368
Cheektowaga,NY,75178,42.90339,-78.75475,5112375
Kings Bridge,NY,75132,40.87871,-73.90514,5123443
Bismarck,ND,75092,46.80833,-100.78374,5688025
Perris,CA,74971,33.78252,-117.22865,5382146
Bethlehem,PA,74892,40.62593,-75.37046,5180225
Albany,GA,74843,31.57851,-84.15574,4179320
Schaumburg,IL,74693,42.03336,-88.08341,4910713
Gastonia,NC,74543,35.26208,-81.1873,4467732
Brownsville,NY,74497,40.66094,-73.92014,5110446
Union City,CA,74494,37.59577,-122.01913,5404555
Bolingbrook,IL,74306,41.69864,-88.0684,4885265
Iowa City,IA,74220,41.66113,-91.53017,4862034
Layton,UT,74143,41.06022,-111.97105,5777107
Missouri City,TX,74139,29.61857,-95.53772,4711801
Appleton,WI,74139,44.26193,-88.41538,5244080
Shelby,MI,74099,42.67087,-83.03298,5009586
Fort Myers,FL,74013,26.62168,-81.84059,4155995
Boynton Beach,FL,73966,26.52535,-80.06643,4148677
Jonesboro,AR,73907,35.8423,-90.70428,4116834
South Lawndale,IL,73826,41.84364,-87.71255,4911951
Logan Square,IL,73702,41.92337,-87.69922,4900358
Rapid City,SD,73569,44.08054,-103.23101,5768233
Warner Robins,GA,73490,32.61574,-83.62664,4229476
Rochester Hills,MI,73424,42.65837,-83.14993,5007402
Decatur,IL,73254,39.84031,-88.9548,4236895
Southfield,MI,73156,42.47337,-83.22187,5010636
Saint George,UT,72897,37.10415,-113.58412,5546220
New Britain,CT,72808,41.66121,-72.77954,4839292
Daytona Beach,FL,72647,29.21081,-81.02283,4152872
Franklin,TN,72639,35.92506,-86.86889,4623560
Turlock,CA,72292,37.49466,-120.84659,5404024
Temple,TX,72277,31.09823,-97.34278,4735966
West Ridge,IL,72211,41.99975,-87.69284,4916079
Apple Valley,CA,72174,34.50083,-117.18588,5324363
Lynwood,CA,71989,33.93029,-118.21146,5369367
Waukesha,WI,71970,43.01168,-88.23148,5278052
Canton,OH,71885,40.79895,-81.37845,5149222
Gulfport,MS,71856,30.36742,-89.09282,4428667
Pawtucket,RI,71591,41.87871,-71.38256,5223869
Lauderhill,FL,71579,26.14036,-80.21338,4161625
Rock Hill,SC,71548,34.92487,-81.02508,4593142
Silver Spring,MD,71452,38.99067,-77.02609,4369596
West Gulfport,MS,71329,30.40409,-89.0942,4450687
Flower Mound,TX,71253,33.01457,-97.09696,4691585
Centreville,VA,71135,38.84039,-77.42888,4751839
Lafayette,IN,71111,40.4167,-86.87529,4922462
Passaic,NJ,71085,40.85677,-74.12848,5102443
Riverview,FL,71050,27.86614,-82.32648,4170156
Redlands,CA,71035,34.05557,-117.18254,5386754
Missoula,MT,71022,46.87215,-113.994,5666639
Rancho Cordova,CA,71017,38.58907,-121.30273,5385941
Wilmington,DE,70898,39.74595,-75.54659,4145381
New Braunfels,TX,70543,29.703,-98.12445,4714131
Cherry Hill,NJ,70475,39.93484,-75.03073,4501198
Flagstaff,AZ,70320,35.19807,-111.65127,5294810
Muncie,IN,70087,40.19338,-85.38636,4924006
Mira Mesa,CA,70000,32.9156,-117.14392,5373497
Woodland Hills,CA,70000,34.16834,-118.60592,5410438
Weston,FL,69959,26.10037,-80.39977,4178003
Frederick,MD,69479,39.41427,-77.41054,4355585
Pasco,WA,69451,46.23958,-119.10057,5806298
Pittsburg,CA,69424,38.02798,-121.88468,5383465
Ridgewood,NY,69317,40.7001,-73.90569,5133858
Palatine,IL,69308,42.1103,-88.03424,4905211
North Richland Hills,TX,69204,32.8343,-97.2289,4715292
Union City,NJ,69156,40.77955,-74.02375,5105634
Kissimmee,FL,69152,28.30468,-81.41667,4160983
Walnut Creek,CA,68910,37.90631,-122.06496,5406990
Cordova,TN,68779,35.15565,-89.7762,4050552
Mount Vernon,NY,68628,40.9126,-73.83708,5127835
Conroe,TX,68602,30.31188,-95.45605,4682991
Dothan,AL,68567,31.22323,-85.39049,4059102
Northridge,CA,68469,34.22834,-118.53675,5377985
Waterloo,IA,68460,42.49276,-92.34296,4880889
Maple Grove,MN,68385,45.07246,-93.45579,5036493
Framingham,MA,68318,42.27926,-71.41617,4937230
Redondo Beach,CA,68166,33.84918,-118.38841,5386785
Bossier City,LA,68094,32.51599,-93.73212,4317639
Yorba Linda,CA,67973,33.88863,-117.81311,5410902
Woodbury,MN,67855,44.92386,-92.95938,5053358
Eau Claire,WI,67778,44.81135,-91.49849,5251436
Waldorf,MD,67752,38.62456,-76.93914,4372599
Forest Hills,NY,67714,40.71621,-73.85014,5117575
Davis,CA,67666,38.54491,-121.74052,5341704
Glen Burnie,MD,67639,39.16261,-76.62469,4356188
Camarillo,CA,67608,34.21639,-119.0376,5333180
Victoria,TX,67574,28.80527,-97.0036,4739157
Gaithersburg,MD,67456,39.14344,-77.20137,4355843
Jacksonville,NC,67357,34.75405,-77.43024,4473083
South San Francisco,CA,67271,37.65466,-122.40775,5397765
Kenner,LA,67091,29.99409,-90.24174,4329753
Jackson Heights,NY,67067,40.75566,-73.88541,5122477
Rockville,MD,66980,39.084,-77.15276,4367175
Jackson,TN,66975,35.61452,-88.81395,4632595
Lincoln Park,IL,66959,41.9217,-87.64783,4899911
Yuba City,CA,66941,39.14045,-121.61691,5411015
Portland,ME,66881,43.65737,-70.2589,4975802
Palo Alto,CA,66853,37.44188,-122.14302,5380748
Casas Adobes,AZ,66795,32.32341,-110.9951,5288661
Marysville,WA,66773,48.05176,-122.17708,5802570
South Jordan,UT,66648,40.56217,-111.92966,5781770
Oshkosh,WI,66555,44.02471,-88.54261,5265838
North Little Rock,AR,66504,34.76954,-92.26709,4124112
Bayside,NY,66455,40.76844,-73.77708,5108193
Bayonne,NJ,66311,40.66871,-74.11431,5095445
Eagan,MN,66286,44.80413,-93.16689,5024825
Delray Beach,FL,66255,26.46146,-80.07282,4153132
Johnson City,TN,66027,36.31344,-82.35347,4633419
Dale City,VA,65969,38.63706,-77.31109,4755158
Cedar Park,TX,65945,30.5052,-97.82029,4679867
Parkchester,NY,65876,40.83899,-73.86041,5130572
Atascocita,TX,65844,29.99883,-95.1766,4671524
Saint Cloud,MN,65842,45.5608,-94.16249,5044407
Ellicott City,MD,65834,39.26733,-76.79831,4354265
Laguna Niguel,CA,65806,33.52253,-117.70755,5364329
Saint Charles,MO,65794,38.78394,-90.48123,4406831
Harlingen,TX,65774,26.19063,-97.6961,4696233
San Clemente,CA,65526,33.42697,-117.61199,5391791
West Lynchburg,VA,65517,37.4032,-79.17808,4792867
Middletown,NJ,65490,40.39428,-74.11709,5101170
Framingham Center,MA,65413,42.29732,-71.43701,4937232
Schenectady,NY,65305,42.81424,-73.93957,5136454
Cheyenne,WY,65132,41.13998,-104.82025,5821086
Broomfield,CO,65065,39.92054,-105.08665,5415035
Ames,IA,65060,42.03471,-93.61994,4846834
Park Slope,NY,65047,40.6701,-73.98597,5130561
Shawnee,KS,65046,39.04167,-94.72024,4279247
Reseda,CA,65000,34.20112,-118.53647,5387152
Conway,AR,64980,35.0887,-92.4421,4106458
East Orange,NJ,64949,40.76732,-74.20487,5097441
Portage Park,IL,64841,41.95781,-87.76506,4906500
Skokie,IL,64821,42.03336,-87.73339,4911600
West Bloomfield Township,MI,64690,42.56891,-83.38356,7259621
Tamarac,FL,64681,26.21286,-80.24977,4174738
Youngstown,OH,64628,41.09978,-80.64952,5177568
Lodi,CA,64596,38.1302,-121.27245,5367565
North Hollywood,CA,64587,34.17223,-118.37897,5377654
Greenville,SC,64579,34.85262,-82.39401,4580543
Mansfield,TX,64274,32.56319,-97.14168,4709013
Santa Cruz,CA,64220,36.97412,-122.0308,5393052
Pico Rivera,CA,64218,33.98307,-118.09673,5382496
Madera,CA,64208,36.96134,-120.06072,5369568
Janesville,WI,64123,42.68279,-89.01872,5257754
West Des Moines,IA,64113,41.57721,-93.71133,4881346
Montebello,CA,63921,34.00946,-118.10535,5374322
Georgetown,TX,63716,30.63269,-97.67723,4693342
Alpharetta,GA,63693,34.07538,-84.29409,4179574
Lorain,OH,63647,41.45282,-82.18237,5161262
Bowling Green,KY,63616,36.99032,-86.4436,4285268
Flatlands,NY,63601,40.62122,-73.93486,5117388
Dundalk,MD,63597,39.25066,-76.52052,4353765
Eden Prairie,MN,63496,44.85469,-93.47079,5025219
North Bergen,NJ,63484,40.80427,-74.01208,5101879
Florence-Graham,CA,63387,33.96772,-118.24438,7261268
Waltham,MA,63378,42.37649,-71.23561,4954380
West Hartford,CT,63268,41.76204,-72.74204,4845411
Rogers,AR,63159,36.33202,-94.11854,4128894
Carol City,FL,63031,25.94065,-80.2456,4150066
Encinitas,CA,62930,33.03699,-117.29198,5346646
East Village,NY,62832,40.72927,-73.98736,5116093
Haverhill,MA,62765,42.7762,-71.07728,4939085
Jupiter,FL,62707,26.93422,-80.09421,4160610
Council Bluffs,IA,62597,41.26194,-95.86083,4852832
Wellington,FL,62560,26.65868,-80.24144,4177703
West Coon Rapids,MN,62528,45.15969,-93.34967,5052361
North Miami,FL,62435,25.89009,-80.18671,4166232
Hamilton,OH,62407,39.3995,-84.56134,4513575
North Port,FL,62345,27.04422,-82.23593,4166274
Tulare,CA,62315,36.20773,-119.34734,5403783
Coon Rapids,MN,62240,45.11997,-93.28773,5022025
Millcreek,UT,62139,40.68689,-111.87549,5778352
La Habra,CA,62131,33.93196,-117.94617,5363922
Blaine,MN,62124,45.1608,-93.23495,5018651
Auburn,AL,62059,32.60986,-85.48078,4830796
Lake Elsinore,CA,61981,33.66808,-117.32726,5364499
Carmichael,CA,61762,38.61713,-121.32828,5334336
Taylor,MI,61568,42.24087,-83.26965,5011908
Burnsville,MN,61481,44.76774,-93.27772,5019767
Monterey Park,CA,61468,34.06251,-118.12285,5374406
Castro Valley,CA,61388,37.6941,-122.08635,5334928
Irvington,NJ,61323,40.73232,-74.23487,5099724
Rocklin,CA,61213,38.79073,-121.23578,5388319
Utica,NY,61100,43.1009,-75.23266,5142056
Malden,MA,61068,42.4251,-71.06616,4942939
National City,CA,61060,32.67811,-117.0992,5376200
Financial District,NY,60976,40.70789,-74.00857,8436473
Springfield,OR,60870,44.04624,-123.02203,5754005
Bethesda,MD,60858,38.98067,-77.10026,4348599
Terre Haute,IN,60825,39.4667,-87.41391,4265737
Vineland,NJ,60818,39.48623,-75.02573,4504621
West Hollywood,FL,60806,26.02065,-80.18394,4177834
San Marcos,TX,60684,29.88327,-97.94139,4726491
Brentwood,NY,60664,40.78121,-73.24623,5110077
Lakeville,MN,60633,44.64969,-93.24272,5034059
West Allis,WI,60620,43.01668,-88.00703,5278420
Redmond,WA,60598,47.67399,-122.12151,5808079
Canoga Park,CA,60578,34.20112,-118.59814,5333913
Cupertino,CA,60572,37.323,-122.03218,5341145
Taylorsville,UT,60514,40.66772,-111.93883,5782476
Bristol,CT,60452,41.67176,-72.94927,5282835
Moore,OK,60451,35.33951,-97.4867,4542975
Gardena,CA,60447,33.88835,-118.30896,5351549
Petaluma,CA,60438,38.23242,-122.63665,5382232
Bensalem,PA,60427,40.10455,-74.95128,5179995
Grand Junction,CO,60358,39.06387,-108.55065,5423573
Casper,WY,60285,42.86663,-106.31308,5820705
Rowlett,TX,60236,32.9029,-96.56388,4724194
La Mesa,CA,60089,32.76783,-117.02308,5363990
Pine Hills,FL,60076,28.55778,-81.4534,4168459
Valley Glen,CA,60000,34.18568,-118.42032,11838960
Bensonhurst,NY,60000,40.60177,-73.99403,5108815
Coney Island,NY,60000,40.57788,-73.99403,5113481
Rancho Penasquitos,CA,60000,32.95949,-117.11531,5386039
Meriden,CT,59988,41.53815,-72.80704,4838524
Pontiac,MI,59917,42.63892,-83.29105,5006166
Port Orange,FL,59866,29.13832,-80.99561,4169156
Hamden,CT,59847,41.39593,-72.89677,4835654
Lakewood,WA,59829,47.17176,-122.51846,5800420
Fountainebleau,FL,59764,25.77288,-80.34783,4156091
Saint Clair Shores,MI,59715,42.49698,-82.88881,5010978
Springfield,OH,59680,39.92423,-83.80882,4525353
Great Falls,MT,59638,47.50024,-111.30081,5655240
Chapel Hill,NC,59568,35.9132,-79.05584,4460162
Canyon Country,CA,59530,34.42333,-118.47203,5333944
Huntington Park,CA,59430,33.98168,-118.22507,5358736
Lancaster,PA,59339,40.03788,-76.30551,5197079
Coconut Creek,FL,59302,26.25175,-80.17894,4151455
Leander,TX,59202,30.57881,-97.85307,4705708
Idaho Falls,ID,59184,43.46658,-112.03414,5596475
San Rafael,CA,59162,37.97353,-122.53109,5392567
Noblesville,IN,59093,40.04559,-86.0086,4924198
Marietta,GA,59067,33.9526,-84.54993,4207783
Fairfield,CT,59052,41.14121,-73.26373,4834157
Owensboro,KY,59042,37.77422,-87.11333,4303436
Eastvale,CA,59039,33.96358,-117.56418,8096217
Royal Oak,MI,59008,42.48948,-83.14465,5007804
Brentwood,CA,58968,37.93187,-121.69579,5330642
Dubuque,IA,58799,42.50056,-90.66457,4854529
Brookline,MA,58732,42.33176,-71.12116,4931482
Novi,MI,58723,42.48059,-83.47549,5004062
Des Plaines,IL,58677,42.03336,-87.8834,4889772
Carson City,NV,58639,39.1638,-119.7674,5501344
Orland Park,IL,58619,41.63031,-87.85394,4904937
Bartlett,TN,58579,35.20453,-89.87398,4604183
Woodland,CA,58567,38.67852,-121.7733,5410430
Lehi,UT,58486,40.39162,-111.85077,5777224
White Plains,NY,58459,41.03399,-73.76291,5144336
Arcadia,CA,58408,34.13973,-118.03534,5324477
Reston,VA,58404,38.96872,-77.3411,4781530
Ocala,FL,58218,29.1872,-82.14009,4166673
Clay,NY,58206,43.1859,-76.17243,5112861
Central City,AZ,58161,33.44001,-112.05805,11979238
South Vineland,NJ,58122,39.44595,-75.02879,4504225
Sanford,FL,58111,28.80055,-81.27312,4172086
Bowie,MD,58025,38.94278,-76.73028,4349159
Kokomo,IN,57995,40.48643,-86.1336,4922388
Wayne,NJ,57915,40.92538,-74.27654,5106160
Santee,CA,57787,32.83838,-116.97392,5393429
Dublin,CA,57721,37.70215,-121.93579,5344157
Palm Harbor,FL,57439,28.07807,-82.76371,4167545
Medford,MA,57403,42.41843,-71.10616,4943629
Midwest City,OK,57249,35.44951,-97.3967,4542765
Center City,PA,57239,39.9512,-75.15923,9958118
Margate,FL,57234,26.24453,-80.20644,4163407
South Whittier,CA,57156,33.95015,-118.03917,5397841
Tinley Park,IL,57143,41.57337,-87.78449,4913723
Pflugerville,TX,57122,30.43937,-97.62,4718711
New Brunswick,NJ,57035,40.48622,-74.45182,5101717
Grand Forks,ND,57011,47.92526,-97.03285,5059429
Fountain Valley,CA,56987,33.70918,-117.95367,5350207
North Hills,CA,56946,34.23639,-118.48472,5394409
Diamond Bar,CA,56897,34.02862,-117.81034,5342992
Taunton,MA,56789,41.9001,-71.08977,4952629
Oak Lawn,IL,56781,41.71087,-87.75811,4904365
Union,NJ,56771,40.6976,-74.2632,5105608
Ankeny,IA,56764,41.72971,-93.60577,4846960
Chicopee,MA,56741,42.1487,-72.60787,4933002
Irving Park,IL,56520,41.95336,-87.73645,4897543
Berwyn,IL,56368,41.85059,-87.79367,4884597
Manhattan,KS,56308,39.18361,-96.57167,4274994
Kendale Lakes,FL,56148,25.70816,-80.407,4160705
Smyrna,GA,56146,33.88399,-84.51438,4223379
Dearborn Heights,MI,56145,42.33698,-83.27326,4990512
Porterville,CA,56058,36.06523,-119.01677,5384471
Piscataway,NJ,56044,40.49927,-74.39904,5102713
Hendersonville,TN,56018,36.30477,-86.62,4628735
Morningside Heights,NY,55929,40.81,-73.9625,6332422
Rocky Mount,NC,55806,35.93821,-77.79053,4488762
Corvallis,OR,55780,44.56457,-123.26204,5720727
Olympia,WA,55733,47.04491,-122.90169,5805687
Valdosta,GA,55724,30.83334,-83.28032,4228147
Hanford,CA,55659,36.32745,-119.64568,5355180
Castle Rock,CO,55591,39.37221,-104.85609,5416329
Greenwood,IN,55586,39.61366,-86.10665,4258313
Chicago Lawn,IL,55551,41.77503,-87.69644,4887463
Hempstead,NY,55547,40.70621,-73.61874,5120478
Novato,CA,55530,38.10742,-122.5697,5378044
Kettering,OH,55525,39.6895,-84.16883,4515843
Bellevue,NE,55510,41.13667,-95.89084,5063805
Shoreline,WA,55439,47.75565,-122.34152,5810301
Decatur,AL,55437,34.60593,-86.98334,4058553
Paramount,CA,55412,33.88946,-118.15979,5381110
Port Arthur,TX,55340,29.88519,-93.94233,4720039
Abington,PA,55310,40.12067,-75.11795,5177773
Anderson,IN,55305,40.10532,-85.68025,4917592
Tamiami,FL,55271,25.75871,-80.39839,4174744
Towson,MD,55197,39.4015,-76.60191,4371582
North Chicopee,MA,55179,42.18343,-72.59953,4945588
Uptown,IL,55137,41.9659,-87.65262,4914557
Sarasota,FL,55118,27.33643,-82.53065,4172131
Cypress Hills,NY,54944,40.67705,-73.89125,5114418
West Haven,CT,54927,41.27065,-72.94705,4845419
Rosemead,CA,54908,34.08057,-118.07285,5388867
Edgewater,IL,54873,41.98337,-87.66395,4890701
Jackson,NJ,54856,39.7765,-74.86238,4502434
Highland,CA,54854,34.12834,-117.20865,5356868
Mount Prospect,IL,54747,42.06642,-87.93729,4903024
Colton,CA,54621,34.0739,-117.31365,5338783
Encanto,AZ,54614,33.47937,-112.07823,11979227
Pocatello,ID,54441,42.8713,-112.44553,5604045
Bradenton,FL,54437,27.49893,-82.57482,4148708
Rogers Park,IL,54402,42.00864,-87.66672,4908033
Weymouth,MA,54395,42.22093,-70.93977,4955336
Port Charlotte,FL,54392,26.97617,-82.09064,4169130
Normal,IL,54373,40.5142,-88.99063,4903780
Spring,TX,54298,30.07994,-95.41716,4733624
Allapattah,FL,54289,25.81454,-80.22394,4145805
Richland,WA,54248,46.28569,-119.28446,5808276
Euless,TX,54219,32.83707,-97.08195,4689550
Blue Springs,MO,54148,39.01695,-94.28161,4377664
East Pensacola Heights,FL,54104,30.42881,-87.17997,4154047
Hacienda Heights,CA,54038,33.99307,-117.96868,5354819
Ozone Park,NY,53985,40.67677,-73.84375,5130334
Briarwood,NY,53877,40.70935,-73.81529,6640032
Cathedral City,CA,53826,33.77974,-116.46529,5335006
Lakewood,NJ,53805,40.09789,-74.21764,5100280
Elyria,OH,53775,41.36838,-82.10765,5153207
Pensacola,FL,53724,30.42131,-87.21691,4168228
Wheaton,IL,53715,41.86614,-88.10701,4916288
Commerce City,CO,53696,39.80832,-104.93387,5417737
Hoboken,NJ,53635,40.74399,-74.03236,5099133
Watsonville,CA,53628,36.91023,-121.75689,5407529
Lake Havasu City,AZ,53553,34.4839,-114.32245,5301388
Little Havana,FL,53430,25.76806,-80.23306,6332582
Revere,MA,53422,42.40843,-71.01199,4832294
West New York,NJ,53366,40.78788,-74.01431,5106292
Yucaipa,CA,53328,34.03363,-117.04309,5411046
Gilroy,CA,53231,37.00578,-121.56828,5352214
Poinciana,FL,53193,28.14029,-81.45841,4168930
University of Texas,TX,53082,30.28604,-97.73889,4738604
Kingsport,TN,53014,36.54843,-82.56182,4634662
Levittown,PA,52983,40.15511,-74.82877,5197796
Palm Beach Gardens,FL,52923,26.82339,-80.13865,4167519
Milford,CT,52759,41.22232,-73.0565,4838652
Delano,CA,52733,35.76884,-119.24705,5342485
West Sacramento,CA,52721,38.58046,-121.53023,5408211
Huntersville,NC,52704,35.41069,-80.84285,4472370
Perth Amboy,NJ,52682,40.50677,-74.26542,5102578
Sherman Oaks,CA,52677,34.15112,-118.44925,5395244
Southaven,MS,52589,34.98898,-90.01259,4446675
Saint Peters,MO,52575,38.80033,-90.62651,4407237
Downtown DC,DC,52560,38.8935,-77.01991,13526890
Harrisonburg,VA,52538,38.44957,-78.86892,4763231
Peabody,MA,52504,42.52787,-70.92866,4946863
Placentia,CA,52495,33.87224,-117.87034,5383527
Lenexa,KS,52490,38.95362,-94.73357,4274356
DeSoto,TX,52486,32.58986,-96.85695,4685524
Burlington,NC,52472,36.09569,-79.4378,4458228
South Hill,WA,52431,47.14121,-122.27012,5811456
Elkhart,IN,52348,41.68199,-85.97667,4919987
La Crosse,WI,52306,43.80136,-91.23958,5258957
Oak Park,IL,52287,41.88503,-87.7845,4904381
Florissant,MO,52268,38.78922,-90.32261,4386802
Sammamish,WA,52253,47.64177,-122.0804,5809402
Wakefield,NY,52201,40.89788,-73.85236,5143056
Albany,OR,52175,44.63651,-123.10593,5710756
Hoffman Estates,IL,52138,42.04281,-88.0798,4896075
Albany Park,IL,52079,41.96836,-87.72339,4883012
Methuen,MA,52044,42.7262,-71.19089,4943828
Glendora,CA,52009,34.13612,-117.86534,5352439
Wilmington,CA,52000,33.78002,-118.26257,5409802
Queens Village,NY,51919,40.72677,-73.74152,5133271
Brookhaven,GA,51910,33.85844,-84.3402,4184530
Levittown,NY,51881,40.72593,-73.51429,5124276
Palm Desert,CA,51869,33.72255,-116.37697,5380626
Joplin,MO,51818,37.08423,-94.51328,4392768
Enid,OK,51776,36.39559,-97.87839,4535961
Bonita Springs,FL,51704,26.33981,-81.7787,4148533
Irondequoit,NY,51692,43.2134,-77.57972,5122331
Caldwell,ID,51686,43.66294,-116.68736,5587698
Minnetonka,MN,51669,44.9133,-93.50329,5037784
Pinellas Park,FL,51617,27.8428,-82.69954,4168630
Battle Creek,MI,51589,42.3173,-85.17816,4985153
Casa Grande,AZ,51460,32.8795,-111.75735,5288636
South Shore,IL,51451,41.76198,-87.57783,4912013
Mott Haven,NY,51450,40.80899,-73.92291,5127670
The Villages,FL,51442,28.93408,-81.95994,4175179
Grand Island,NE,51440,40.92501,-98.34201,5069297
Grapevine,TX,51404,32.93429,-97.07807,4694568
Stratford,CT,51384,41.18454,-73.13317,4843811
Kentwood,MI,51357,42.86947,-85.64475,4998018
City of Milford (balance),CT,51271,41.22374,-73.06164,7160204
Tigard,OR,51253,45.43123,-122.77149,5756758
East Hartford,CT,51252,41.78232,-72.61203,4833403
Apple Valley,MN,51221,44.73191,-93.21772,5016494
Plainfield,NJ,51217,40.63371,-74.40737,5102720
Leesburg,VA,51209,39.11566,-77.5636,4769125
Parsippany,NJ,51144,40.85788,-74.42599,5102427
Coral Gables,FL,51117,25.72149,-80.26838,4151871
The Trails of Frisco,TX,51059,33.16087,-96.87182,13561794
The Hammocks,FL,51003,25.67149,-80.4445,4175117
Buckeye,AZ,50876,33.37032,-112.58378,5287262
Flagami,FL,50834,25.76232,-80.31616,4155529
Catalina Foothills,AZ,50796,32.29785,-110.9187,5288786
Lakewood,OH,50656,41.48199,-81.79819,5160315
North La Crosse,WI,50470,43.84635,-91.24819,5264870
Burien,WA,50467,47.47038,-122.34679,5788516
Havertown,PA,50430,39.98095,-75.30852,4558523
Logan,UT,50371,41.73549,-111.83439,5777544
South Peabody,MA,50293,42.50982,-70.94949,4951473
Aliso Viejo,CA,50195,33.56504,-117.72712,5323163
Harrisburg,PA,50183,40.2737,-76.88442,5192726
Galveston,TX,50180,29.30135,-94.7977,4692883
Poway,CA,50157,32.96282,-117.03586,5384690
Edina,MN,50138,44.88969,-93.34995,5025264
Minnetonka Mills,MN,50117,44.94107,-93.4419,5037790
Stonecrest,GA,50000,33.70849,-84.13485,11748973
